Variety,Seed_Date,Date_Temp_Taken,Crop Age in Days,Temp_of_Leaf,Time of Temp Reading,Location of Tray,Evap pad on?,Any comments?,Temp of room (Trane),leaf temp - room temp,,Temp-Hobo,Humidity-Hobo
Aru&Peas,7/27/22,08/02/22,7,74.3,2:24 PM,4A4,No,,,,,,
Peas,7/25/22,08/02/22,9,75.4,2:25 PM,3A4,No,,,,,,
Suns,7/26/22,08/02/22,8,78.9,2:27 PM,4A3,No,Domes on ,,,,,
Suns,7/26/22,08/02/22,8,79.7,2:29 PM,3A3,No,Domes on,,,,,
Wasabi,7/27/22,08/02/22,7,73.9,2:39 PM,4A1,No,,,,,,
Carrot,7/20/22,08/02/22,14,,,,,,,,,,
Carrot,07/25/22,08/02/22,9,73.8,2:46 PM,3A1,No,,,,,,
Frill,7/19/22,08/02/22,15,74.4,3:01 PM,4L7,Yes,Crops peak ,,,,,
Frill,7/19/22,08/02/22,15,73.8,3:02 PM,3L7,Yes,,,,,,
Frill,7/19/22,08/02/22,15,72.5,3:03 PM,3L6,Yes,,,,,,
Frill,7/28/22,08/02/22,6,70.8,3:05 PM,4L3,Yes,,,,,,
Frill,7/28/22,08/02/22,6,71.6,3:07 PM,3L3,Yes,,,,,,
Frill,7/28/22,08/02/22,6,71.3,3:08 PM,4L2,Yes,,,,,,
Frill,7/21/22,08/02/22,13,70.1,3:09 PM,3L2,Yes,,,,,,
Frill,7/21/22,08/02/22,13,69.3,3:10 PM,4L1,Yes,,,,,,
Frill,7/21/22,08/02/22,13,70.2,3:13 PM,3L1,Yes,,,,,,
Dill,7/14/22,08/03/22,,77.6,9:34 AM,2D8,Yes,Very Low ,,,,,
Dill,7/15/22,08/03/22,,77.3,9:36 AM,1D8,Yes,,,,,,
Kale,7/20/22,08/03/22,,77.1,9:38 AM,2D5,Yes,,,,,,
Kale,7/20/22,08/03/22,,77.5,9:39 AM,1D5,Yes,,,,,,
Kale,7/20/22,08/03/22,,78.2,9:41 AM,2D4,Yes,6 lights ,,,,,
Kale,7/20/22,08/03/22,,76.5,9:43 AM,1D4,Yes,,,,,,
Kale,7/20/22,08/03/22,,76.8,9:44 AM,2D3,Yes,,,,,,
Kale,7/20/22,08/03/22,,76,9:45 AM,1D3,Yes,,,,,,
Kale,7/20/22,08/03/22,,76.7,9:47 AM,2D2,Yes,,,,,,
Kale,7/25/22,08/03/22,,80,10:33 AM,2 E5,Yes,,,,,,
Kale,7/25/22,08/03/22,,80.4,10:35 AM,1 E5,Yes,,,,,,
Kale,7/25/22,08/03/22,,80.1,10:38 AM,2 E4,Yes,,,,,,
Kale,7/25/22,08/03/22,,78.9,10:40 AM,1 E4,Yes,,,,,,
Kale,7/25/22,08/03/22,,79.7,10:42 AM,2 E3,Yes,Very Low ,,,,,
Kale,7/25/22,08/03/22,,80,10:44 AM,1 E3,Yes,,,,,,
Kale,7/25/22,08/03/22,,79.9,10:45 AM,2 E2,Yes,,,,,,
Kale,7/25/22,08/03/22,,79.8,10:46 AM,1 E2,Yes,,,,,,
Kale,7/25/22,08/03/22,,78.5,10:48 AM,2 E1,Yes,,,,,,
Kale,7/25/22,08/03/22,,78.6,10:50 AM,1 E1,Yes,,,,,,
Kale,7/27/22,08/04/22,,80.1,10:17,2F5,Yes ,Very Low,,,,,
Kale ,7/27/22,08/04/22,,80.3,10:22 AM,1F5,Yes,,,,,,
Kale,7/27/22,08/04/22,,78.7,10:33 AM,2F4,Yes,,,,,,
Kale,7/27/22,08/04/22,,78.7,10:35 AM,1F4,,,,,,,
Kale,7/27/22,08/04/22,,78.6,10:36 AM,2F3,,,,,,,
Kale,7/27/22,08/04/22,,78.9,10:38 AM,1F3,,,,,,,
Kale,7/27/22,08/04/22,,80.1,2:51 PM,2F2,Yes ,Low wind pressure,,,,,
Kale,7/27/22,08/04/22,,81.6,2:55 PM,1F2,,,,,,,
Kale,7/27/22,08/04/22,,80.1,2:57 PM,2F1,,,,,,,
Kale,7/27/22,08/04/22,,80.5,2:58 PM,1F1,,,,,,,
Kale,7/27/22,08/04/22,,80.2,3:02 PM,2G5,,,,,,,
Kale ,7/27/22,08/04/22,,80,3:04 PM,1G5,,,,,,,
Lettuce ,7/27/22,08/04/22,,79.9,3:05 PM,2G4,,,,,,,
Lettuce ,7/27/22,08/04/22,,79.4,3:06 PM,1G4,,,,,,,
Lettuce ,7/20/22,08/04/22,,79.5,3:13 PM,2G3,,,,,,,
Lettuce ,7/20,08/04/22,,80.6,3:14 PM,1G3,,,,,,,
Lettuce ,7/27/22,08/04/22,,81,3:15 PM,2G2,,,,,,,
Lettuce ,7/27/22,08/04/22,,80.6,3:16 PM,1G2,,,,,,,
Lettuce ,7/27/22,08/04/22,,79.6,3:17 PM,2G1,,,,,,,
Lettuce ,7/27/22,08/04/22,,79.2,3:18 PM,1G1,,,,,,,
Arugula ,8/3/22,08/09/22,7,69.5,11:21 PM,3A6,Yes,,,,,,
Arugula ,8/1/22,08/09/22,9,68.4,11:25 AM,4A5,Yes,,,,,,
Arugula ,8/1/22,08/09/22,9,69.2,11:40 AM,3A5,Yes,,,,,,
Peas ,8/2/22,08/09/22,8,68,11:44 AM,4A4,Yes,,,,,,
Peas ,8/2/22,08/09/22,8,68.2,11:44 AM,3A4,Yes,,,,,,
Suns,8/2/22,08/09/22,8,67.3,11:50 AM,4A3,Yes,No domes on ,,,,,
Suns,8/2/22,08/09/22,8,68.3,11:53 AM,3A3,Yes,No domes on ,,,,,
Wasabi basil salad B,7/27 &8/1/22,08/09/22,,69.4,11:56 AM,4A1,Yes,,,,,,
Carrots ,7/27/22,08/09/22,14,68.9,Noon,3A1,Yes,,,,,,
Brocoli ,8/4/22,08/10/22,,72.3,10:18 AM,3A7,,,,,,,
Arugula,8/3/22,08/10/22,,72.6,10:20 AM,3A6,,,,,,,
Arugula ,8/2/22,08/10/22,,72.3,10:23 AM,4A5,,,,,,,
Peas,8/2/22,08/10/22,,71.1,10:25 AM,4A4,,tall growth ,,,,,
Peas,,08/10/22,,72.2,10:35 AM,3A4,,Two different length.,,,,,
Suns,,08/10/22,,72.7,10:38 AM,4A3,,,,,,,
Suns,,08/10/22,,74.2,10:45 AM,3A3,,,,,,,
Suns ,,08/10/22,,73.4,10:48 AM,4A2,,,,,,,
Suns ,,08/10/22,,73.8,10:50 AM,3A2,,,,,,,
wasabi & basil ,,08/10/22,,72,10:52 AM,4A1,,,,,,,
Carrots,,08/10/22,,72.9,10:54A,3A1,,,,,,,
Basil,7/25/22,08/10/22,,80.4,Noon,2H6,Yes,,,,,,
Miz ,8/3/22,08/10/22,,75.3,12:02,2H5,Yes,,,,,,
Miz ,8/3/22,08/10/22,,77,12:03 PM,1H5,Yes,,,,,,
Miz ,7/27/22,08/10/22,,74.5,12:05 PM,2H4,Yes,,,,,,
Miz ,7/27/22,08/10/22,,76.4,12:06 PM,1H4,Yes,,,,,,
Let,8/2/22,08/10/22,,74.7,12:08 PM,2H3,Yes,,,,,,
Let,8/2/22,08/10/22,,75.8,12:09 PM,1H3,Yes,,,,,,
Let,7/26/22,08/10/22,,74.5,12:11 PM,2H2,Yes,,,,,,
Let,7/26/22,08/10/22,,76.1,12:12 PM,1H2,Yes,,,,,,
Let,7/26/22,08/10/22,,73.6,12:14 PM,2H1,Yes,,,,,,
Let,7/26/22,08/10/22,,74.7,12:15 PM,1H1,Yes,,,,,,
Kale,8/3/22,08/15/22,,76.9,3:05 PM,2G4,Yes,Hot air ,,,,,
Kale ,8/3/22,08/15/22,,79,3:06 PM,1G4,Yes,,,,,,
Let,8/10/22,08/15/22,,78,3:09 PM,2G3,Yes,,,,,,
Let,8/10/22,08/15/22,,78.2,3:10 PM,1G3,Yes,,,,,,
Let,7/27/22,08/15/22,,76.4,3:13 PM,2G2,Yes,,,,,,
Let,7/27/22,08/15/22,,77,3:14 PM,1G2,Yes,,,,,,
Let,7/27/22,08/15/22,,73.4,3:16 PM,2G1,Yes,,,,,,
Let,7/27/22,08/15/22,,75,15:18,1G1,Yes,,,,,,
Pak,8/11/22,08/15/22,,76.8,3:28 PM,2H6,Yes,High Velocity ,,,,,
Pak,8/11/22,08/15/22,,80.6,3:30 PM,1H6,Yes,,,,,,
Miz,8/1/22,08/15/22,,76.4,3:33 PM,2H5,Yes,,,,,,
Miz,8/1/22,08/15/22,,79.1,3:34 PM,1H5,Yes,,,,,,
Miz,8/8/22,08/15/22,,77.6,3:37 PM,2H4,Yes,,,,,,
Miz,8/8/22,08/15/22,,77.9,3:38 PM,1H4,Yes,Leaf Movement ,,,,,
Let,8/2/22,08/15/22,,75.4,3:41 PM,2H3,Yes,,,,,,
Let,8/2/22,08/15/22,,77,3:42 PM,1H3,Yes,,,,,,
Let,8/2/22,08/15/22,,75.6,3:44 PM,2H2,Yes,,,,,,
Let,8/2/22,08/15/22,,77.4,3:48 PM,1H2,Yes,,,,,,
Suns,8/9/22,08/16/22,9,74.7,11:55 AM,4A7,Yes ,,,,,,
Suns,8/9/22,08/16/22,9,75.3,11:56 AM,3A7,Yes ,,,,,,
Arugula,8/10/22,08/16/22,6,72,Noon,3A6,Yes ,,,,,,
Arugula,8/9/22,08/16/22,7,74.5,2:28 PM,4A5,Yes ,,,,,,
Arugula,8/8/22,08/16/22,9,74.6,2:34 PM,3A5,Yes ,,,,,,
Peas,8/9/22,08/16/22,8,74.2,2:36 PM,4A4,Yes ,,,,,,
Peas,8/8/22,08/16/22,9,74.2,2:38 PM,3A4,Yes ,,,,,,
Suns,8/8/22,08/16/22,9,72.6,2:41 PM,4A3,,,,,,,
Suns,8/8/22,08/16/22,9,73.6,2:45 PM,3A3,,,,,,,
Sun,8/8/22,08/16/22,9,72.8,2:50 PM,3A2,,,,,,,
Was,8/10/22,08/16/22,7,73.6,2:54 PM,4A1,,,,,,,
Carrot,8/1/22&8/3/22,08/16/22,14,72.3,2:56 PM,3A1,,,,,,,
Kale,8/10/22,08/24/22,15,76.7,10:39 AM,2F5,No,,,,,,
Kale,8/10/22,08/24/22,15,76.2,10:42 AM,1F5,No,,,,,,
Kale,8/10/22,08/24/22,15,75.5,10:44 AM,2F4,No,,,,,,
Kale ,8/10/22,08/24/22,15,75,10:45 AM,1F4,No,,,,,,
Kale ,8/10/22,08/24/22,15,75.6,10:48 AM,2F3,No,,,,,,
Kale,8/10/22,08/24/22,15,76.3,10:49 AM,1F3 ,No,,,,,,
Kale ,8/10/2022,08/24/22,15,75.1,10:51 AM,2F2,No,,,,,,
Kale ,8/10/22,08/24/22,15,77.2,10:52 AM,1F2,No,*,,,,,
Kale,8/10/22,08/24/22,15,73.5,10:54 AM,2F1,No,,,,,,
Kale ,8/10/22,08/24/22,15,75.6,10:54 AM,1F1,No,,,,,,
Kale,8/15/22,08/24/22,10,81.2,2:53 PM,2G5,Yes,,,,,,
Kale,8/15/22,08/24/22,10,81,2:55 PM,1G5,Yes,,,,,,
Kale,8/17/22,08/24/22,8,80.3,2:57 PM,2G4,Yes,,,,,,
Kale,8/17/22,08/24/22,8,80.4,2:59 PM,1G4,Yes,,,,,,
Let,8/10/22,08/24/22,15,79.2,3:00 PM,2G3,Yes,,,,,,
Let,8/10/22,08/24/22,15,80.8,15:03,1G3,Yes,,,,,,
Let,8/16/22,08/24/22,9,80,3:05 PM,2G2,Yes,,,,,,
Let,8/16/22,08/24/22,9,80.1,3:06 PM,1G2,Yes,,,,,,
Let,8/16/22,08/24/22,9,78.5,3:08 PM,2G1,Yes,,,,,,
Let,8/16/22,08/24/22,9,79.6,3:09 PM,1G1,Yes,,,,,,
Dill,8/4/22,08/25/22,22,75.1,8:51 AM,2D8,Yes ,Low velocity ,,,,,
Dill,8/4/22,08/25/22,22,73.4,8:52 AM,1D8,Yes ,,,,,,
Kale,8/17/22,08/25/22,9,73.7,8:55 AM,2D5,Yes ,,,,,,
Kale,8/17/22,08/25/22,9,73.5,8:56 AM,1D5,Yes ,,,,,,
Kale,8/17/22,08/25/22,9,73.4,8:58 AM,2D4,Yes ,,,,,,
Kale ,8/17/22,08/25/22,9,73.6,9:00 AM,1D4,Yes ,,,,,,
Kale,8/17/22,08/25/22,9,73.7,9:02 AM,2D373,Yes ,,,,,,
Kale ,8/17/22,08/25/22,9,73.6,9:05 AM,1D3,Yes ,,,,,,
Kale,8/17/22,08/25/22,9,73.7,9:07 AM,2D2,Yes ,,,,,,
Kale ,8/17/22,08/25/22,9,73.9,9:08 AM,2D1,Yes ,,,,,,
Kale ,8/17/22,08/25/22,9,73.7,9:15 AM,2D1,,,,,,,
Kale ,8/17/22,08/25/22,9,74,9:17 AM,1D1,,,,,,,
Pak,8/19/22,08/26/22,,73,11:47 AM,2H8,,,,,,,
